phi1,phi2,phi3,phi4,phi5,phi6,phi7,label
1338127.1344869707,256236401245.75586,472180545420.9341,4926875880067.095,-2.1062210338360116e+24,1.407568925449416e+18,7.213494625167495e+24,4
1372134.496194825,752529305740.1255,33086581185337.23,5118750669449.15,7.464606028855149e+24,2.978855306754056e+18,-6.619543339712806e+25,7
1970616.2615694853,598176310711.4438,12493273373962.715,3025282800313.508,-5.3821734691500057e+23,-9.733456255370938e+17,1.859110356901727e+25,2
1163145.107808039,185126924513.73257,29942762502882.004,2498263202433.6313,-1.708229498892379e+25,-1.0664102099708448e+18,1.3231645951178555e+25,7
423406.2684222012,162038460299.08362,44162733066.7873,6145567951.7469425,-1.875655778238893e+19,-1099507186382399.5,-9.949180854323505e+19,1
1008330.5986616787,240263853420.11212,16523657964117.834,623709948187.0383,1.4708683722706354e+24,3.056795808910585e+17,-1.358570503443066e+24,2
575553.020174482,272617145280.97534,228207461375.9015,51081994352.24835,3.224938380724898e+21,4091920643587586.0,4.474143810917818e+21,1
220818.73661041816,46597534606.358574,57184734542.2874,17684388695.00508,4.659400713580407e+20,1620761996517935.5,3.149035062116296e+20,1
665366.6807125525,105988219586.21779,4277634300727.668,1245273932246.0557,-6.338717244865814e+23,-1.3179042210190026e+17,-2.803311371062286e+24,7
836634.8569827301,54882320867.6004,13067506143119.193,51030141210.75128,-2.8599412141441277e+22,-76012424987603.5,-3.0307863178737034e+22,4
667098.620273276,84242488703.60738,15787984023678.2,110151316691.23251,4.17278731408876e+22,1.7911482876317322e+16,-1.3913817182913457e+23,2
755906.7624145424,325733929512.7776,5950778803490.802,902421930820.5591,3.566734482944549e+22,-4.506068699542525e+16,2.0909237166004634e+24,3
937822.6753493963,277991625580.5729,362036364457.7828,7540170520.376874,-2.200305362921427e+19,3493589907034077.0,-3.933411854773964e+20,5
683593.6147378318,404042784368.4132,141022384792.3683,89534970587.30017,1.0030336330020986e+22,5.446792761784293e+16,7.825012734935546e+20,1
827160.3991696686,170512554032.49048,16036254069338.156,4809919511555.405,3.983414530086531e+25,1.8496246484306819e+18,1.4062007649914343e+25,2
1510833.0294087082,153119400306.6076,38484329516320.95,803434580734.4229,4.430035314252149e+24,3.084379946320324e+17,-5.776121494454559e+23,4
1016687.5926808865,81093781754.35144,8516636940034.725,1282524778787.0767,8.63053595189873e+23,3.470741343239027e+17,-4.1499059014661526e+24,4
797499.2883852411,203158825034.81586,8877828798699.48,3055162331722.2,1.5600635783250086e+25,1.3409999911966118e+18,-3.128681116523544e+24,6
1886178.6325148847,562886898774.4496,4285298058708.714,1213289556295.2969,-4.27617732136536e+23,-9.099015570502998e+17,-2.7332938985563474e+24,3
1133744.5113428389,225331423252.63885,7619622208007.373,1688140617421.8875,1.2144812818631833e+24,-6.755287118174266e+16,-5.931461529764672e+24,5
925724.5626503124,132300092977.00775,255268069272.14825,122114709862.85992,-2.046232137978424e+22,4.1341080492667816e+16,6.791916955324515e+21,5
2005643.042003042,487692225289.50757,40800045565182.65,5628281458537.604,-7.1116951765325465e+25,-3.757764337706449e+18,-4.708106436524903e+25,6
1264651.8387579364,311614344275.39874,275555009432.21655,353258304342.6248,-9.576844616378552e+22,8.198842754497707e+16,5.45514799201867e+22,0
1298703.5320243929,60462128261.12532,20321137467078.133,753449173954.7803,-1.672819001687644e+24,-6.832461480772427e+16,2.4276490763863517e+24,4
348353.1737304687,114461696458.72609,104607263525.72458,95097904298.0342,9.484077485482834e+21,3.153150352506639e+16,1.3229251774650463e+20,1
1017368.1267696267,47186781836.1502,13950709912910.71,1520833419992.8076,1.1123469770545424e+24,2.1779607514314998e+17,-6.916323499880409e+24,9
575807.7781204351,158953816017.18546,9982914439958.676,1014465265098.724,-2.746934158744785e+24,-3.694341674711459e+17,-1.6961074513807568e+24,5
1531629.7110750694,848535584208.3633,86533800130033.33,13222799113297.367,-2.1318461172017163e+26,-7.558302181089499e+18,3.932052210896992e+26,7
1443661.861226271,569672476300.4564,1916256835501.325,232981874841.12088,-1.551953921592795e+23,1.5102856472433507e+17,-1.2170144283086918e+22,8
531941.5538271426,119777671760.42355,1763156914971.973,87175285568.01155,-1.684706267123011e+22,-1168448610465056.0,2.973638309726297e+22,9
985312.8196466882,379485292326.5189,9543736638875.299,1414603217134.9272,-5.180528916465703e+24,-8.628958353749824e+17,-4.2214031949901974e+23,3
1595090.3585490917,201843837887.41672,73266596432401.64,10676448128271.594,-3.165640753047201e+25,3.466961645277947e+18,-2.9691956246796235e+26,7
362910.184223993,47881922922.59552,1250226361667.6387,162588349994.36615,5.944388030808419e+22,2.0294270768859644e+16,4.289430043025718e+22,4
1075915.753729775,29837092223.74392,2592760522865.9,2419996350724.594,6.030958445623976e+24,1.4700432128984736e+17,-6.109348493477932e+23,6
1035443.0192038317,73529074913.03333,37799093744987.1,2446634827718.9863,7.685609188148232e+24,-9911502319219584.0,2.2237854917158667e+25,4
1521293.2294362616,841490027287.1824,4287219899884.933,726141156588.1498,-1.2006698052159085e+24,-5.4131012548902854e+17,-4.470845282312041e+23,3
1815146.3157421187,157667578242.47592,1845000401096.045,313691208064.7207,1.658702933584141e+23,-673653719714752.0,-1.7157601183925512e+23,0
1234084.6362054348,72549680730.72807,60561626802994.04,9138465190814.21,-1.958800642076133e+26,-2.2969505106681743e+18,8.85982905124544e+25,7
2639447.757044368,76264238149.32574,4801555459456.778,124112341511.30415,-6.817229356596598e+20,3.418374929056286e+16,9.580814562708837e+22,0
1882827.2768278841,573132759584.6509,19380081908245.992,12859921499423.621,1.926074294793489e+26,4.897807295564778e+18,6.417808043738514e+25,2
1241032.3477228798,866768752112.0642,20092873135794.906,8036429657318.264,9.934978532306604e+25,7.22654700377992e+18,-2.362946536803122e+25,9
463687.33570952696,188939427625.29987,69500766883.72038,22747125130.716824,7.748862932142162e+20,4752306912641177.0,-4.664558646038405e+20,1
871849.167317031,101974801338.43793,19293722029801.742,1243010070202.6152,-5.812161471993077e+24,-2.0957788618966122e+17,-1.8091970015311997e+24,7
865195.2328828076,331996598872.0398,3178692302562.8535,379142809023.92224,3.287942673849669e+23,-1.075989051898838e+17,-2.552211477381498e+23,3
889256.8397355336,136425790284.68282,548186520872.4905,43927727130.71677,-4.860036622612287e+21,1014225549043950.8,-4.77985723154001e+21,2
706997.5849610809,293055182857.90936,4305280045384.477,1790832183364.882,4.942012788491009e+24,8.792179224428557e+17,5.506404829956198e+23,9
1827342.6938401116,666887730808.4177,61824075991398.32,9620525266833.621,1.197902132691476e+26,7.464780333244111e+18,-2.0174211759216472e+26,7
856900.706713781,313617845470.11163,12376639619591.09,3786515498082.7227,2.3437650532355903e+25,1.8510369140071782e+18,-1.1072639012894689e+25,7
1096317.162419171,304180446055.1524,7141570488469.448,3222399407520.4517,1.5348591413163001e+25,1.6281825614178125e+18,-1.839670262535357e+24,6
1832932.0382991377,549329109321.18665,45509295529918.47,4348190825929.57,4.2881675770871855e+25,1.458754240392992e+18,4.361755234042062e+25,2
815001.6244008471,201671865407.48486,15913183778260.916,2476613061864.5806,2.874435954740414e+24,2.5143880082828768e+17,-1.5279665460142176e+25,7
1299200.898430319,134640077831.63234,30657994174288.496,2371695310260.935,-1.6606157137903994e+25,-8.434175129533038e+17,-1.154265251297348e+25,8
1450631.652758269,12407457850.059378,39350987701179.49,170176375988.272,3.904810753558434e+23,-1.832388754228913e+16,2.0361312398608183e+23,4
1041087.5388041935,398787431563.0107,24506739898303.34,4154011681605.432,2.533249804120764e+25,1.854000876581545e+18,-3.3390544542693395e+25,7
1377311.5152489133,709593046151.8762,13432394619866.373,1602077385492.0674,9.963629462011865e+23,3.280857302787187e+16,7.364844352646034e+24,3
1265882.477346865,230705517332.00342,17587542026660.209,7320387186806.681,6.497725962447041e+25,2.1533840117999212e+18,-5.174255381292715e+25,6
557610.320677846,267178888504.56696,428481245693.823,324815079630.54395,1.2116869781830217e+23,1.6692438685826525e+17,-1.4181510137114484e+21,1
1329157.4414985818,514476304887.37396,10404171563298.367,4498025133911.122,2.954481146872265e+25,1.0253093423094618e+18,-8.598638021558641e+24,3
820369.4272486772,173946428820.56543,9313740520037.037,4937531712580.902,3.1870786846889554e+25,1.7810920724713723e+18,-1.0265349833266958e+25,6
564003.8694376195,167648227368.03125,2084566743361.9243,206893802941.08942,1.0714092894251933e+23,4.5204534561077736e+16,8.355806453204722e+22,9
1552603.9830197082,890144767581.3586,13532772608691.604,3624040210693.772,8.870523235242428e+24,-6.483553870171891e+17,-2.3778821862886835e+25,3
759664.9005949537,444836629055.97504,343248358876.48016,83725406813.2379,1.1634070937274577e+22,3.464208596212159e+16,-8.130462609545024e+21,1
1562770.5799043297,123462899359.11707,28636270875911.906,1673915925667.4407,1.1295169960730057e+25,5.805041053769942e+17,2.594596352356176e+24,4
382439.10378717276,132665932824.23148,334215424860.43964,172165694293.57635,4.033195189213632e+22,4.984166562303296e+16,-8.882064778683995e+21,1
1168796.5514446676,111498729663.1034,28546418758226.484,664404060528.8997,-1.637982037804559e+23,2.2084910929729587e+17,2.888865033009518e+24,7
1211066.5175557204,319846860467.9945,22166466981673.445,12663813132683.074,1.9003523020080606e+26,5.271218455194904e+18,-9.436631403477384e+25,6
1211936.2098189527,195857847150.37946,13177763985513.209,2558984857809.7417,7.546654494884299e+24,7.083038597640374e+17,-1.280122238280731e+25,9
834814.4394606494,56698527223.631996,6423982165254.734,2198701550922.8457,3.9866023608945845e+24,3.0585926030003936e+17,-7.237991486371213e+24,6
1600745.7599250935,110558362317.74274,612401185923.5286,745089994860.9513,-2.7684633518542024e+22,-2.4292317896597264e+17,5.025428595510138e+23,0
1677116.7118080645,300242475910.7398,46050479324917.91,2024457562389.8486,1.4257248414248185e+25,7.242475817044604e+17,1.3372211573322696e+25,5
1185713.424717318,54998877753.90128,34914951970004.418,714943638673.2737,-3.1569581131577147e+24,-1.3768568369267974e+17,1.6712019722673345e+24,4
1105027.6375040058,393125101383.30743,14504766270572.756,2411003184390.246,1.3547392318281531e+25,1.3784277840304312e+18,-4.4443872026552533e+24,9
810057.5758644334,73656224605.00894,10129937808451.271,917608002967.5426,2.654395839759469e+24,2.3931620715264544e+17,-8.836723201114626e+23,9
1843239.796105693,260879894592.4759,19848433117056.715,4429984361048.93,-1.343212761123973e+25,-2.1873537881152504e+18,3.9308381351589014e+25,2
491295.2307250539,211031823029.08112,465848566703.32166,58777969073.825165,-5.508443083175573e+21,-1.7454993137113616e+16,-8.016013892386376e+21,1
796505.8521151482,200086582692.35358,9533972914452.48,2358194565545.7,1.020523193841919e+25,9.717273612947135e+17,-4.569773930578482e+24,9
668400.9259449466,31368159081.808884,146215851449.944,338276223846.5036,2.02662702089164e+22,5.646534192069647e+16,7.245122409999866e+22,4
1300831.3079702593,796363863128.7766,485797147701.9954,130043523219.01086,2.1533527488878315e+22,8.671565420239352e+16,2.4590157777430332e+22,8
666465.4785928552,305636022406.70276,3224238292126.8433,791059888751.171,9.216850397206523e+23,2.9532783861058765e+17,-8.640478997638862e+23,7
789956.2505931035,384503625316.08997,1192993443880.2292,182979945330.9247,-7.890102134322065e+22,-1.1177337206793019e+17,-3.291610888939858e+22,3
839450.0025009703,187315669253.7431,10262589800201.992,1804643180799.835,7.419106194115855e+24,7.764224394412342e+17,-2.296225400160934e+24,9
579849.9840422604,141320071672.90842,2383565120162.3076,199616989265.89426,-1.3707980799107454e+23,-7.42827065972414e+16,-1.2973247194063247e+22,7
521017.07721060625,93263405586.15096,552700238327.8251,188983374742.7215,5.624893009368954e+22,4.62888672490799e+16,2.3801286469912497e+22,4
414828.2729269266,47326382459.038956,1275496471517.1985,19957617381.530807,6.029681131941715e+20,627367604959589.2,-3.12660645789393e+21,4
1133559.1781356,84884013746.50883,40170302933989.59,1904413349049.0867,-1.2042493357323646e+25,-5.438107678794674e+17,1.150786372581798e+25,4
618804.891928622,104548356285.1269,3121865238368.5415,95322487712.97726,3.2052693974735825e+22,9559983046073254.0,4.094612028177161e+22,9
1301720.0171610606,230377139139.2512,1556188410968.162,303116362276.7569,-2.0779726705239416e+23,1.3633261165277667e+17,-1.2666356343111722e+22,2
1901763.460623107,649388720185.0355,6707163932360.146,26293749721.038097,-7.020330945772223e+21,1.9526836052104268e+16,-8.522969020851414e+21,5
750551.8506809822,53691375934.23883,2290526559587.8433,693531468267.5018,-8.662322922837841e+23,1.6016128982448966e+17,1.171018551833558e+23,4
583020.7084113549,213454346380.2019,6316921341524.599,777454194833.9808,-1.2129174324196813e+24,-2.7117218142470982e+17,-1.2236349236380694e+24,7
946808.1302555647,135309452160.4977,8086595219254.057,2629970339585.315,1.2124795583456151e+25,9.6686875013757e+17,-3.0203205951042373e+23,6
1124553.415777575,34613314027.91821,71882777891239.0,2965728029265.352,3.5618745292529876e+24,2.579720245103149e+17,4.315540290315182e+25,7
662421.0941623561,111356963205.43658,6912978136673.62,693743119951.355,1.5118416005480121e+24,1.766492983953043e+17,1.4990066580849595e+23,9
1928554.7385775493,108830534734.6883,7027438900860.969,1736371564544.072,3.613954615550668e+24,-4.497941259300544e+16,-4.87123523174172e+24,0
1385864.183428593,491787564919.20184,35590477872473.37,3032620724755.5337,-1.5491770136680115e+25,-1.797699814644714e+18,-2.7434224977737464e+25,5
1797871.1628342525,782096192863.4907,20255269540438.598,1197024030493.804,4.5206137152900133e+24,8.35642446501936e+17,3.7822476267051295e+24,8
1204454.8546265233,500616658877.4603,5150890792465.093,351750207761.55066,-4.5871697557852354e+23,-2.414896506428709e+17,-1.1727247694284432e+23,5
1306465.0731995618,223120222802.73935,8171980021245.265,4145916447170.26,2.231207000674282e+25,1.6601471580079844e+18,-9.193913166544961e+24,6
1664559.7015532828,459510413211.8617,17031155650070.023,10430131155089.824,1.2545198755609451e+26,6.931257731707396e+18,-5.988763193450148e+25,6
1815551.3943759522,614479228288.7616,2368560826550.54,374466891862.65393,1.132065576662523e+23,-6566645323675904.0,-3.340013561615414e+23,5
1360707.7867773236,175663678229.73032,24111432483877.223,4373654755565.093,3.0843318134175075e+25,-5.6924451257109165e+17,3.264850354422828e+25,7
1275508.161813893,608469166319.9917,4327674452914.2876,196915301506.9746,-8.211619607485204e+22,-4.410186995593864e+16,1.621757012519559e+23,8
586781.8290993073,297361753057.5999,30441363533.117718,9781665878.05045,1.4648118198324075e+20,2697535478130709.5,-8.386851324373215e+19,1
1293835.125579185,319669271383.3271,48621071961.58517,55745937422.7815,2.769888335536533e+21,-3.1499353252087096e+16,-8.664110683153385e+20,0
690205.6736121374,398085228737.3967,54340197766.95388,12063582413.555695,2.117420242166168e+20,2804465964768120.0,2.2486817119422248e+20,1
1238432.6739908566,86079256886.14009,24864574997620.31,3950217156808.613,2.8513036371029682e+25,8.101306413195561e+17,-2.6826482391045812e+25,6
1009701.9627285514,179776929269.58502,13129104013407.436,1496901816599.586,4.509133663552105e+24,5.810341156803621e+17,4.868720658460078e+24,4
606253.0006376738,138643515782.13577,4502717372793.554,1580545367393.407,3.24333605654957e+24,4.1403666221059155e+17,-2.6943070505175545e+24,6
1219028.1612302451,395077135837.59985,94763635184109.78,8993830484212.24,-2.614608459641697e+26,-5.590818106722683e+18,2.4061266124509225e+25,7
1363800.8283047248,437214801764.5477,13578136495900.012,5285345386702.036,-3.7528619652270597e+25,-2.5169428645391606e+18,2.4420340172622107e+25,3
374419.11186440673,129493340060.19528,54844734074.78225,25176828045.66899,9.013811759259534e+20,6700362464941871.0,2.505469602120215e+20,1
913210.8798407086,209455524166.98804,7941688790365.352,1470619276096.0046,3.797507038540771e+24,5.2367226402483546e+17,-3.292080403182432e+24,7
341160.6572588083,109147306060.49252,4710807611.046915,4020820191.055122,1.749856633535213e+19,1328375715063849.2,-1.5571202915388006e+17,1
1332548.2457491178,429533856922.21277,13820692147402.549,838285251025.2375,-2.6860850447189905e+24,-5.381181048542106e+17,-9.62529432362256e+23,8
2162948.579046456,726063020881.038,48003714258411.64,7051675336826.934,4.398655775446481e+25,2.689569041272955e+17,1.2205656333945542e+26,2
1214004.586393267,223923502911.76794,1882618288356.4949,107175390269.44165,9.136872627131688e+21,4.441001517048973e+16,-4.726696151707247e+22,0
717027.4320004752,74088912969.0608,22208799432018.223,3325026307387.0215,2.6722542203428594e+25,8.571135083467405e+17,-1.0115312271568792e+25,2
910141.9771074026,131150901400.38884,7126241811960.167,92851820036.69203,5.8044897662468364e+22,3.294752272430188e+16,-4.832677122459157e+22,9
1790106.509779592,671792896426.6565,17019371689875.947,4447212213400.801,2.9657212512850585e+25,3.1523109913334907e+18,-2.484751538709468e+25,9
1111531.0514490232,434597866095.76556,24430522322268.12,6443707188108.691,5.2957791815047766e+25,5.0170388947971456e+17,-6.108923964738085e+25,5
960173.1875514826,264837816681.6478,902543548882.9502,284642610711.81415,-1.342691149865346e+23,1.4233264441185947e+17,5.278633396445055e+22,5
296866.50546669366,82450083351.4371,62252189855.71028,29240177532.892025,1.208233934301728e+21,6128103502071875.0,3.106051037372186e+20,1
1508639.5520980982,691695857742.112,20305093491132.062,4659153782427.351,4.415124685037222e+25,2.7372458850318807e+18,-1.0213519533348468e+25,5
991982.0389200395,252596350886.89832,22717965689931.297,7098169865976.605,7.010762950404562e+25,1.9798574431769385e+18,-5.665372049629247e+25,6
1055793.7095658854,148169865433.16617,56551397310.35757,21565083128.447914,-6.686827331924918e+19,6279143536396595.0,-7.501180471640583e+20,0
1429599.7378171396,727581379359.5652,20384437103947.926,4903569086559.069,1.4900331064978258e+25,5.2595227158387584e+17,4.670581388524696e+25,3
422925.31564537156,44540406425.255325,1410744912530.3433,26786055702.230484,-4.3338127270860646e+20,-2981224098934141.0,5.18893122105698e+21,4
909105.2982669258,265437488499.5478,2807608403136.132,64448176506.55547,-2.665021654795764e+22,-7903491078566112.0,-6.429169927296844e+21,4
1268775.553076324,134591008439.48264,27534899254084.348,9653332601184.264,1.2771817654831653e+26,3.455368007523542e+18,-9.19644323438492e+25,6
2062991.1818052107,969744451566.9824,22977307255807.457,1791352754717.0264,-1.139093297545994e+25,-1.6225738833709896e+18,-1.5258748567266048e+24,5
1369001.6255820054,140749354994.09796,37638369465913.695,1684888486099.1597,1.218837401118906e+25,6.19253328791531e+17,-5.610106341978889e+24,4
836446.9955005123,72088084296.52379,13111042466779.184,3679659530748.2285,1.8160694174255137e+25,9.323607742096936e+17,-1.7983608641765135e+25,6
1664623.6100131753,502736472570.084,2493517877334.421,173133471334.4159,-1.067166286706541e+23,1.2203244756446408e+17,-3.939792410704839e+22,5
789328.9353183226,63922800365.62067,912308047703.944,89267409518.02016,2.511400673523362e+22,1.92023928230274e+16,4.2720266385557454e+21,4
639664.845252306,144119429068.3615,523657964233.60724,148422247887.90393,2.751208563099958e+22,2.8270850624523304e+16,-3.090706464660094e+22,5
471240.67743062833,197988649712.17596,107973386853.8177,61275204067.4335,4.928714688177637e+21,2.502757894618432e+16,-7.408663600330032e+20,1
645879.7462149982,60622415097.06861,4320833054880.943,123935686830.94415,4.300270553029887e+22,2.2625700000208624e+16,-7.985085860347344e+22,4
568228.9586966769,63795403190.66834,5855156504547.099,359730811123.2112,1.7683503557244753e+23,5.455176768370071e+16,4.9121808372563666e+23,4
1500110.7382368033,1027067684452.8156,32976236598173.59,7658074798198.479,8.84919633816598e+25,6.203814468721358e+18,-8.354242987645436e+25,7
2098481.501268231,793506234268.8478,18058832850517.926,849038624476.2512,3.15189110284884e+24,-6.136915283831764e+17,-1.0575325454124278e+24,2
1092678.965198614,129822406018.39256,6980436329926.291,1640434460808.9983,5.54474948191829e+24,1.253132488525767e+17,2.656009647478145e+23,3
1116605.8400134584,461822736740.0008,9988164824894.154,2614352097375.1533,1.2510563645897148e+25,1.6254949909268104e+18,4.6862586337926756e+24,2
356635.045382263,99718949551.8035,1054845567208.5449,337148294171.359,1.695889985385006e+23,8.393924064701387e+16,-1.0800340181903532e+23,7
232455.41014062703,51467455496.31593,10967530375.300882,6230840461.313819,5.081920283469289e+19,1186756019198830.8,-8.395166162841432e+18,1
1025076.2502781295,363120829950.7201,21747688389.80493,17429933682.943184,-2.1429294133893123e+20,5180827000017427.0,-2.6313148273068317e+20,8
425556.7763049503,165006469309.16736,46085113286.28619,13524781765.938423,2.7343353082324684e+20,2397692967238288.0,-1.9810688735544856e+20,1
1469663.151965146,781282462277.2451,703483161584.3165,87941669845.88037,-2.056333100058548e+22,-7.579152019827432e+16,7.456595643036638e+21,8
404265.3001908872,152122914195.2787,11247886545.086903,10237123841.253613,1.0985037077238745e+20,3992481647626441.0,2.201403365193892e+17,1
1336525.4987228813,639304008424.9785,90743817989.18375,147340930916.95105,1.4866377017238779e+22,1.311631652148293e+16,-8.321712051172448e+21,8
791093.3655364092,319368359562.2084,3953721136212.5195,437723871296.7093,-5.7039026889459434e+23,-2.3940795646779475e+17,-7.905056013488215e+22,5
2615969.908765701,258766347731.15176,5528709247458.53,1478309186884.3064,-3.4427731854115554e+24,7.458851649312319e+17,2.451301834336473e+24,0
999861.9610731194,346176079081.9291,666696403824.5797,378153620059.5222,1.3081337811561701e+23,1.1761941493287893e+17,1.3762323101096325e+23,8
762465.1028453136,42977129767.05137,2062649876126.8818,23250488136.704723,-3.1213126741044033e+21,4177121426087556.5,4.022758359234685e+21,9
2017844.686696493,1077415265238.4935,20563572054084.28,1299753555935.1602,6.402852118963834e+24,1.0268928339489454e+18,2.0386181154517517e+24,2
1493567.037445974,522344966750.96686,2961286075170.347,242284294525.42004,-9.687360090292005e+22,1.5200567324316915e+17,1.8092092684456717e+23,5
2255274.672622677,543729888101.50555,17858441483891.145,1370026150227.3076,-6.195166056307234e+24,-4.95426613710709e+17,2.746434819866149e+24,0
304818.9759683968,88299716718.7175,23383648136.45973,7131402670.651922,7.591977303571313e+19,930746761929893.2,-5.212479627821728e+19,1
691292.6702380398,370868707268.3539,100144755668.27548,31149976725.91448,1.5533292674393875e+21,6660500020707211.0,7.836397824865364e+20,1
429096.5381930981,169511517882.1986,52774760364.16006,5826533847.988668,-9.575407780147467e+19,-2319243140896527.0,-3.5638647063861527e+19,1
1844941.427470901,1419157930117.9783,2295072763976.672,160709954884.42636,7.775187104386326e+22,1.4860321369968083e+17,-5.8999647887314504e+22,0
925812.1048490306,388552502541.6001,6585149340438.202,538623832682.13696,-1.0014106609336474e+24,-3.3151349590658003e+17,1.6184300617422455e+23,9
1697838.6065275618,300261202874.41876,9556167107437.072,1123975298836.9272,3.4292728140125494e+24,5.3114217843515974e+17,1.3450953491170265e+24,0
541130.3525884117,219305118634.24872,887058021424.6127,541698110744.772,3.724785204163754e+23,2.524590824482549e+17,-4.755350048583521e+22,3
563527.1911958295,259801031752.56085,62934138381.79565,39299747766.09258,1.954247219872367e+21,1.999369816369285e+16,-2.914351071907971e+19,1
1149870.1565109198,533433051215.35144,15215437782362.635,8272041460846.591,8.916863074800544e+25,5.48374039508538e+18,-2.5716199601297644e+25,6
649272.8501977327,95499692966.32074,5755163141238.257,205887815419.96558,2.1641936877629244e+23,6.354662673805077e+16,5.8233011212899225e+22,4
1794715.3412483218,1100857691385.3984,19358563559529.348,3014079974898.7266,-2.030864468462729e+25,-2.954231492636763e+18,1.0845925473918284e+25,2
2654043.1979378797,1039300318667.9535,22906346907561.27,2889763615064.6714,-1.1180265805178594e+25,-2.847846097752916e+18,-2.068258987433378e+25,3
